Constructions,Weather,Natural-Disasters,Earthquake,Listing ID,Address,Square Footage,Property Type,Listing Date,Description,Agent Contact Info,Seller's Notes,Property History,Location,Price
Traditional,"Monsoon, Hot and Humid",Frequent Flooding,Low Risk,KL-1002,"456, Baghajatin Street, Kolkata",800,Villa,2015-04-15,Authentic 2-bedroom villa with traditional Bengali architecture. Located in a quiet neighborhood with easy access to public transportation.,[Agent Name]: [Agent Email]: [Agent Phone],Well-preserved property with original features. Seller is a retiree looking to downsize.,First owner: [Name]: 2010-2015. Second owner: [Name]: 2015-present. Minor repairs and renovations.,"Kolkata, West Bengal, India",600000
Contemporary,"Hot and Humid, Monsoon",Rare Flooding,Minor Risk,KL-1003,"789, Tollygunge Circular Road, Kolkata",1500,Apartment,2018-07-10,Sleek 3-bedroom apartment with contemporary design. Located in a secure gated community with 24/7 security.,[Agent Name]: [Agent Email]: [Agent Phone],Well-maintained property with high-end appliances. Seller is a young professional relocating for work.,First owner: [Name]: 2013-2018. Second owner: [Name]: 2018-present. Minor repairs and renovations.,"Kolkata, West Bengal, India",1200000
Traditional,"Monsoon, Hot and Humid",Frequent Flooding,Low Risk,KL-1004,"345, Ballygunge Circular Road, Kolkata",1000,House,2016-10-25,Charming 4-bedroom house with traditional Bengali architecture. Located in a family-friendly neighborhood with excellent schools nearby.,[Agent Name]: [Agent Email]: [Agent Phone],Well-maintained property with ample space for a growing family. Seller is a homemaker looking to move to a smaller property.,First owner: [Name]: 2011-2016. Second owner: [Name]: 2016-present. Minor repairs and renovations.,"Kolkata, West Bengal, India",900000
Modern,"Hot and Humid, Monsoon",Rare Flooding,Minor Risk,KL-1005,"678, Rashbehari Avenue, Kolkata",1200,Apartment,2019-02-01,Luxurious 3-bedroom apartment with modern amenities. Located in a prime area with easy access to top universities and hospitals.,[Agent Name]: [Agent Email]: [Agent Phone],Well-maintained property with top-notch security. Seller is a senior executive looking to retire.,First owner: [Name]: 2014-2019. Second owner: [Name]: 2019-present. No major repairs or renovations.,"Kolkata, West Bengal, India",1500000
Traditional,"Monsoon, Hot and Humid",Frequent Flooding,Low Risk,KL-1006,"987, New Alipore Road, Kolkata",1000,Villa,2017-06-12,Authentic 3-bedroom villa with traditional Bengali architecture. Located in a peaceful neighborhood with easy access to parks and temples.,[Agent Name]: [Agent Email]: [Agent Phone],Well-preserved property with original features. Seller is a retiree looking to move closer to family.,First owner: [Name]: 2010-2017. Second owner: [Name]: 2017-present. Minor repairs and renovations.,"Kolkata, West Bengal, India",700000
Contemporary,"Hot and Humid, Monsoon",Rare Flooding,Minor Risk,KL-1007,"135, Southern Avenue, Kolkata",1500,Apartment,2020-09-15,Stylish 4-bedroom apartment with contemporary design. Located in a prime area with excellent amenities and 24/7 security.,[Agent Name]: [Agent Email]: [Agent Phone],Well-maintained property with high-end appliances. Seller is a young professional relocating for work.,First owner: [Name]: 2015-2020. Second owner: [Name]: 2020-present. Minor repairs and renovations.,"Kolkata, West Bengal, India",1800000
Modern,"Hot,Humid,Rainy",Floods,False,100001,"1234, Gariahat Road, Kolkata-700029",1200,Apartment,2012-04-05,"Modern apartment with 3 bedrooms and 2 bathrooms, located in the heart of Kolkata. Fully furnished with modern amenities. Open spaces and green areas nearby. Easy access to schools, hospitals, and shopping malls. High security. Contact for more details and viewings. ","9876543210,john.doe@example.com",,"Sold in 2018 for INR 1.5 crore,Rented in 2015 for INR 35000 per month",Gariahat,
Traditional,"Hot,Humid,Rainy,Windy","Floods,Cyclones",False,100002,"5678, Deshapran Smriti, Kolkata-700016",1500,Villa,2015-06-12,"Beautiful traditional villa with 4 bedrooms and 3 bathrooms, located in a quiet and peaceful area of Kolkata. Surrounded by lush greenery and tranquil surroundings. Perfect for families. High security. Contact for more details and viewings. ","9876543210,jane.doe@example.com",,"Sold in 2019 for INR 2 crore,Rented in 2016 for INR 50000 per month",Beleghata,
Contemporary,"Hot,Humid,Rainy","Floods,Cyclones",False,100003,"9012, Lake Gardens, Kolkata-700024",1800,Apartment,2018-01-10,"Stylish contemporary apartment with 4 bedrooms and 3 bathrooms, located in a prime area of Kolkata. Fully equipped with modern amenities. Open spaces and green areas nearby. Easy access to schools, hospitals, and shopping malls. High security. Contact for more details and viewings. ","9876543210,john.doe@example.com",,"Sold in 2020 for INR 2.2 crore,Rented in 2017 for INR 40000 per month",Lake Gardens,
Heritage,"Hot,Humid,Rainy","Floods,Cyclones",False,100004,"3456, New Alipore, Kolkata-700025",2000,Villa,2017-08-15,"Historical villa with 5 bedrooms and 4 bathrooms, located in a heritage area of Kolkata. Rich in history and culture. Surrounded by lush greenery and tranquil surroundings. Perfect for families. High security. Contact for more details and viewings. ","9876543210,jane.doe@example.com",,"Sold in 2021 for INR 3 crore,Rented in 2018 for INR 60000 per month",New Alipore,
Classic,"Hot,Humid,Rainy","Floods,Cyclones",False,100005,"6789, Tollygunge, Kolkata-700014",1400,Apartment,2016-02-20,"Classic apartment with 3 bedrooms and 2 bathrooms, located in a prime area of Kolkata. Fully equipped with modern amenities. Open spaces and green areas nearby. Easy access to schools, hospitals, and shopping malls. High security. Contact for more details and viewings. ","9876543210,john.doe@example.com",,"Sold in 2019 for INR 1.8 crore,Rented in 2015 for INR 30000 per month",Tollygunge,
Modern,"Hot,Humid,Rainy","Floods,Cyclones",False,100006,"2345, Behala, Kolkata-700035",1600,Villa,2014-07-03,"Spacious modern villa with 4 bedrooms and 3 bathrooms, located in a prime area of Kolkata. Fully equipped with modern amenities. Open spaces and green areas nearby. Easy access to schools, hospitals, and shopping malls. High security. Contact for more details and viewings. ","9876543210,jane.doe@example.com",,"Sold in 2018 for INR 2 crore,Rented in 2013 for INR 70000 per month",Behala,
Contemporary,"Hot,Humid,Rainy","Floods,Cyclones",False,100007,"8901, Park Circus, Kolkata-700017",1900,Apartment,2013-09-22,"Stylish contemporary apartment with 5 bedrooms and 4 bathrooms, located in a prime area of Kolkata. Fully equipped with modern amenities. Open spaces and green areas nearby. Easy access to schools, hospitals, and shopping malls. High security. Contact for more details and viewings. ","9876543210,john.doe@example.com",,"Sold in 2017 for INR 2.5 crore,Rented in 2012 for INR 45000 per month",Park Circus,
"Steel, Glass",Tropical Monsoon,Cyclones,False,1002,"5678, Park Circus Road, Kolkata",1800,Commercial,2015-06-15,A 3-storey commercial building with ample parking space. Secure structure against cyclones. High footfall area. Contact for price.,"1234567890, xyzagent@mail.com",Inherited from family. Business outgrew the space. Selling to upgrade.,Inherited in 2015. Rent income of 80000 per month. Recent maintenance costs: 30000. Total expenses: 1.2 Crores.,Central Kolkata,Contact for Price
Brick,Tropical Monsoon,Earthquakes,True,1004,"3456, Southern Avenue, Kolkata",1500,Residential,2017-02-02,A 4-BHK bungalow with a rooftop terrace. Seismic resistance design. Ideal for large families. Contact for price.,"3456789012, stuagent@mail.com",Relocating abroad. No major issues. Sale confirmed.,Bought in 2017 for 70 Lakhs. Rental income of 90000 per month. Recent maintenance costs: 25000. Total expenses: 1.05 Crores.,East Kolkata,Contact for Price
"Steel, Glass",Tropical Monsoon,Cyclones,False,1006,"8901, Chowringhee Road, Kolkata",2000,Commercial,2019-07-20,A 4-storey commercial building with a rooftop garden. Secure structure against cyclones. High footfall area. Contact for price.,"5678901234, xyzagent@mail.com",Retiring and downsizing. Business sold. Sale confirmed.,Inherited in 2019. Rent income of 1 Crore per month. Recent maintenance costs: 40000. Total expenses: 1.1 Crores.,Central Kolkata,Contact for Price
Modern,Tropical Monsoon,Cyclone Amphan (2020),,123456789012,"123, Park Avenue, Kolkata",1500,Apartment,2012-05-15,Spacious 3-bedroom apartment in a gated community. Fully furnished with modern amenities. Close to schools and hospitals.,"9876543210, johndoe@email.com",Selling due to relocation. Open to negotiation.,Owned by Mr. & Mrs. Smith since 2010. Last sold in 2012 for INR 20 lakhs.,Salt Lake,3500000
Victorian,Tropical Monsoon,Cyclone Amphan (2020),,234567890123,"456, Chowringhee Road, Kolkata",1800,Villa,2013-08-20,Historic 4-bedroom villa in a quiet neighborhood. Restored with authentic materials. Perfect for a family.,"1234567890, johndoe@email.com",Selling due to financial reasons. Serious offers only.,Owned by the Majumdar family since 1950. Last sold in 2013 for INR 45 lakhs.,Ballygunge,6000000
Contemporary,Tropical Monsoon,,,345678901234,"789, Lansdowne Road, Kolkata",2000,Apartment,2014-12-01,Luxurious 5-bedroom apartment in a high-rise building. Equipped with top-notch facilities. Excellent city views.,"9876543210, johndoe@email.com",Selling due to job transfer. Asking price is negotiable.,Owned by the Chakraborty family since 2010. Last sold in 2014 for INR 50 lakhs.,Alipore,8000000
Traditional,Tropical Monsoon,Cyclone Yaas (2021),,456789012345,"321, Rabindranath Tagore Road, Kolkata",1600,Bungalow,2015-03-05,Gracious 3-bedroom bungalow with lush gardens. Renovated with eco-friendly materials. Peaceful surroundings.,"1234567890, johndoe@email.com",Selling due to health reasons. Open to best offers.,Owned by the Ghosh family since 1970. Last sold in 2015 for INR 30 lakhs.,Behala,5500000
Modern,Tropical Monsoon,,,567890123456,"654, Jawaharlal Nehru Road, Kolkata",1700,Apartment,2016-07-10,Stylish 3-bedroom apartment in a gated community. Fully furnished with modern amenities. Close to metro station.,"9876543210, johndoe@email.com",Selling due to divorce. Price is negotiable.,Owned by the Das family since 2011. Last sold in 2016 for INR 25 lakhs.,Bhawanipur,4000000
Contemporary,Tropical Monsoon,,,678901234567,"987, Deshapran Smriti Mandir Road, Kolkata",2200,Villa,2017-11-22,Spacious 4-bedroom villa in a secure complex. Equipped with modern facilities. Perfect for a growing family.,"1234567890, johndoe@email.com",Selling due to job transfer. Asking price is flexible.,Owned by the Mukherjee family since 2012. Last sold in 2017 for INR 60 lakhs.,Ballygunge,7000000
Traditional,Tropical Monsoon,,,789012345678,"246, Netaji Subhas Chandra Bose Road, Kolkata",1900,Bungalow,2018-02-01,Elegant 5-bedroom bungalow with beautiful gardens. Renovated with sustainable materials. Peaceful surroundings.,"9876543210, johndoe@email.com",Selling due to retirement. Open to best offers.,Owned by the Roy family since 1980. Last sold in 2018 for INR 40 lakhs.,Alipore,6500000
Modern,Humid Subtropical,None,0.0,100002,"1234 AJC Bose Rd, Kolkata, WB 700023",1200,Apartment,2012-01-01,"Spacious 3-bedroom apartment in Kolkata's prestigious AJC Bose Road, fully furnished with modern amenities. Ideal for families.","Johny D'Souza, 9876543210",Seller has recently relocated abroad and is looking to sell this property quickly.,Sold in 2015 for INR 2500000. Rented out from 2016 to 2021 for INR 50000 per month.,"Kolkata, West Bengal, India",3000000
Traditional,Monsoon,Flood (2017),0.0,100003,"5678 Park Street, Kolkata, WB 700071",800,House,2017-07-15,"Charming 2-bedroom house in Park Street, Kolkata, with a spacious garden and traditional Kolkata architecture. Recently renovated.","Rupa Roy, 9988776655",Seller is upgrading to a larger property and looking to sell this house quickly.,Sold in 2011 for INR 1500000. Rented out from 2012 to 2016 for INR 45000 per month. Damaged during the 2017 flood but fully renovated.,"Kolkata, West Bengal, India",2500000
Modern,Tropical Wet,Cyclone (2020),0.0,100004,"8901 Deshapriya Park, Kolkata, WB 700086",1500,Villa,2020-11-01,"Luxurious 4-bedroom villa in Deshapriya Park, Kolkata, with modern amenities and a private pool. Perfect for families.","Soumya Gupta, 9876543211",Seller is relocating overseas and looking to sell this villa quickly.,Sold in 2015 for INR 5000000. Rented out from 2016 to 2020 for INR 80000 per month. Damaged during the 2020 cyclone but fully repaired.,"Kolkata, West Bengal, India",6000000
Modern,Humid Subtropical,None,0.0,100005,"2345 Rabindranath Tagore Rd, Kolkata, WB 700092",1000,Apartment,2018-02-14,"Beautifully designed 3-bedroom apartment in Kolkata's Rabindranath Tagore Road, fully furnished with modern amenities. Ideal for young professionals.","Tina Ghosh, 9876543212",Seller is looking to upgrade and sell this apartment quickly.,Sold in 2015 for INR 3000000. Rented out from 2016 to 2018 for INR 60000 per month.,"Kolkata, West Bengal, India",4000000
Traditional,Monsoon,None,0.0,100006,"6789 Rashbehari Ave, Kolkata, WB 700029",900,House,2019-06-20,"Spacious 3-bedroom house in Rashbehari Avenue, Kolkata, with traditional Kolkata architecture and a lush garden. Recently renovated.","Ananya Chatterjee, 9876543213",Seller is looking to sell this house and move to a smaller property.,Sold in 2013 for INR 2000000. Rented out from 2014 to 2018 for INR 55000 per month. Renovated in 2019.,"Kolkata, West Bengal, India",3500000
Modern,Tropical Wet,None,0.0,100007,"3456 Netaji Subhas Rd, Kolkata, WB 700077",1200,Apartment,2021-03-25,"Spacious 4-bedroom apartment in Kolkata's Netaji Subhas Road, fully furnished with modern amenities. Ideal for families.","Shweta Banerjee, 9876543214",Seller is looking to sell this apartment quickly.,Sold in 2017 for INR 4500000. Rented out from 2018 to 2021 for INR 75000 per month.,"Kolkata, West Bengal, India",5500000
Modern,Tropical Wet,,,1000001,"123, New Town, Kolkata",1200,Apartment,2015-01-01,"A beautiful 3BHK apartment in New Town, Kolkata. Fully furnished with modern amenities. Perfect for a growing family. Contact us for a viewing.","9876543210, john@realestate.com",Sold to a young couple in 2020.,"Listed for sale in 2015, sold to a family in 2020 for INR 20 lakhs.","Kolkata, West Bengal, India",2000000
Traditional,Tropical Wet,,,1000002,"456, Salt Lake, Kolkata",800,Villa,2016-04-15,"A beautiful villa in Salt Lake, Kolkata. Fully renovated with traditional Bengali architecture. Perfect for a retiree looking for peace and quiet. Contact us for a viewing.","8765432109, jane@realestate.com",Sold to a retired couple in 2019.,"Listed for sale in 2016, sold to a retired couple in 2019 for INR 15 lakhs.","Kolkata, West Bengal, India",1500000
Modern,Tropical Wet,,,1000003,"789, Rajarhat, Kolkata",1500,Apartment,2017-07-20,"A luxurious 4BHK apartment in Rajarhat, Kolkata. Fully furnished with modern amenities. Perfect for a large family. Contact us for a viewing.","7890123456, james@realestate.com",Sold to a wealthy family in 2021.,"Listed for sale in 2017, sold to a wealthy family in 2021 for INR 35 lakhs.","Kolkata, West Bengal, India",3500000
Traditional,Tropical Wet,,,1000004,"345, Ballygunge, Kolkata",1000,Villa,2018-10-05,"A beautiful villa in Ballygunge, Kolkata. Fully renovated with traditional Bengali architecture. Perfect for a family looking for a peaceful retreat. Contact us for a viewing.","6543210987, samantha@realestate.com",Sold to a middle-class family in 2020.,"Listed for sale in 2018, sold to a middle-class family in 2020 for INR 18 lakhs.","Kolkata, West Bengal, India",1800000
Modern,Tropical Wet,,,1000005,"678, Behala, Kolkata",1200,Apartment,2019-01-15,"A beautiful 3BHK apartment in Behala, Kolkata. Fully furnished with modern amenities. Perfect for a young couple. Contact us for a viewing.","9876543210, raj@realestate.com",Sold to a young couple in 2021.,"Listed for sale in 2019, sold to a young couple in 2021 for INR 18 lakhs.","Kolkata, West Bengal, India",1800000
Traditional,Tropical Wet,,,1000006,"901, Tollygunge, Kolkata",1500,Villa,2010-04-25,"A beautiful villa in Tollygunge, Kolkata. Fully renovated with traditional Bengali architecture. Perfect for a family looking for a peaceful retreat. Contact us for a viewing.","8765432109, jane@realestate.com",Sold to a family in 2021.,"Listed for sale in 2010, sold to a family in 2021 for INR 25 lakhs.","Kolkata, West Bengal, India",2500000
Modern,Tropical Wet,,,1000007,"234, Park Circus, Kolkata",1800,Apartment,2011-07-08,"A beautiful 4BHK apartment in Park Circus, Kolkata. Fully furnished with modern amenities. Perfect for a large family. Contact us for a viewing.","7890123456, james@realestate.com",Sold to a wealthy family in 2021.,"Listed for sale in 2011, sold to a wealthy family in 2021 for INR 40 lakhs.","Kolkata, West Bengal, India",4000000
Modern,Tropical Wet,None,None,KOL1001,"1234/A, Park Street, Kolkata, 700016",1500,Apartment,2011-09-01,"Spacious 3-bedroom apartment with modern amenities, located in the heart of Kolkata. Close proximity to popular restaurants and shopping malls. Fully furnished and equipped with modern appliances.","9876543210, abcagent@email.com",Seller is moving abroad and looking for a quick sale. Offering flexible pricing.,"Purchased in 2010 for INR 5000000, Sold in 2021 for INR 8500000.",Central Kolkata,8500000
Traditional,Tropical Wet,None,None,KOL1002,"5678/B, Russell Street, Kolkata, 700001",1200,Villa,2012-03-15,"Beautiful 4-bedroom villa with traditional Kolkata architecture, surrounded by lush greenery. Spacious living areas and private backyard. Perfect for families looking for peace and privacy.","9876543210, xyzagent@email.com",Seller has upgraded to a larger property and looking to sell this one at a competitive price. Offering flexible financing options.,"Purchased in 2010 for INR 4500000, Sold in 2022 for INR 7000000.",South Kolkata,7000000
Contemporary,Tropical Wet,None,None,KOL1003,"9012/C, Rashbehari Avenue, Kolkata, 700020",1800,Apartment,2013-07-01,"Luxurious 3-bedroom apartment with contemporary design, located in a secure gated community. Modern amenities and facilities, including a swimming pool and gym. Perfect for young professionals looking for comfort and convenience.","9876543210, pqragent@email.com",Seller is relocating for work and looking for a quick sale. Offering a discount for early buyers.,"Purchased in 2012 for INR 7500000, Sold in 2023 for INR 10000000.",Eastern Kolkata,10000000
Victorian,Tropical Wet,None,None,KOL1004,"3456/A, Park Street, Kolkata, 700016",1400,House,2014-01-15,"Charming 4-bedroom Victorian house, beautifully restored and maintained. Spacious living areas and private garden. Perfect for families looking for character and history.","9876543210, stuvagent@email.com",Seller is downsizing and looking to sell this property at market value. Offering flexible payment plans.,"Purchased in 2013 for INR 6000000, Sold in 2024 for INR 8500000.",Central Kolkata,8500000
Modern,Tropical Wet,None,None,KOL1005,"6789/B, Russell Street, Kolkata, 700001",1300,Apartment,2015-05-01,"Stylish 2-bedroom apartment with modern amenities, located in a prime area of Kolkata. Close proximity to popular schools and hospitals. Fully furnished and equipped with modern appliances.","9876543210, wxyagent@email.com",Seller is moving abroad and looking for a quick sale. Offering a discount for cash buyers.,"Purchased in 2014 for INR 5500000, Sold in 2025 for INR 7500000.",South Kolkata,7500000
Traditional,Tropical Wet,None,None,KOL1006,"1234/A, Rashbehari Avenue, Kolkata, 700020",1600,Apartment,2016-09-15,"Spacious 3-bedroom apartment with traditional Kolkata architecture, located in a peaceful residential area. Modern amenities and facilities, including a rooftop garden and community hall. Perfect for families looking for comfort and community.","9876543210, zabagent@email.com",Seller is upgrading to a larger property and looking to sell this one at a competitive price. Offering flexible financing options.,"Purchased in 2015 for INR 6000000, Sold in 2026 for INR 8000000.",Eastern Kolkata,8000000
